"     1 ""Wiley Post-Will Rogers Mem""             0.4407    0.0910    0.5000"
"     2 ""Deadhorse""                              0.4830    0.1014    0.5000"
"     3 ""Ralph Wien Memorial""                    0.4110    0.1330    0.5000"
"     4 ""Fairbanks Intl""                         0.4861    0.1528    0.5000"
"     5 ""Nome""                                   0.3965    0.1557    0.5000"
"     6 ""St Mary's""                              0.4074    0.1791    0.5000"
"     7 ""Aniak""                                  0.4266    0.1837    0.5000"
"     8 ""Anchorage Intl""                         0.4752    0.1876    0.5000"
"     9 ""Tuluksak""                               0.4193    0.1883    0.5000"
"    10 ""Akiachak""                               0.4169    0.1901    0.5000"
"    11 ""Akiak""                                  0.4180    0.1901    0.5000"
"    12 ""Kwethluk""                               0.4169    0.1911    0.5000"
"    13 ""Bethel""                                 0.4149    0.1913    0.5000"
"    14 ""Napaskiak""                              0.4152    0.1921    0.5000"
"    15 ""Napakiak""                               0.4142    0.1922    0.5000"
"    16 ""Merle K (Mudhole) Smith""                0.4982    0.1941    0.5000"
"    17 ""Tuntutuliak""                            0.4107    0.1956    0.5000"
"    18 ""Eek""                                    0.4140    0.1967    0.5000"
"    19 ""Kongiganak""                             0.4096    0.1992    0.5000"
"    20 ""Kwigillingok""                           0.4082    0.2003    0.5000"
"    21 ""Quinhagak""                              0.4147    0.2011    0.5000"
"    22 ""Yakutat""                                0.5278    0.2035    0.5000"
"    23 ""Dillingham""                             0.4319    0.2079    0.5000"
"    24 ""King Salmon""                            0.4413    0.2114    0.5000"
"    25 ""Gustavus""                               0.5480    0.2138    0.5000"
"    26 ""Juneau Intl""                            0.5537    0.2145    0.5000"
"    27 ""Kodiak""                                 0.4625    0.2203    0.5000"
"    28 ""St Paul Island""                         0.3722    0.2259    0.5000"
"    29 ""Sitka""                                  0.5497    0.2270    0.5000"
"    30 ""Port Heiden""                            0.4312    0.2278    0.5000"
"    31 ""James A Johnson Petersburg""             0.5620    0.2293    0.5000"
"    32 ""Wrangell""                               0.5650    0.2324    0.5000"
"    33 ""Ketchikan Intl""                         0.5683    0.2432    0.5000"
"    34 ""Sand Point""                             0.4216    0.2435    0.5000"
"    35 ""Cold Bay""                               0.4104    0.2446    0.5000"
"    36 ""Unalaska""                               0.3909    0.2571    0.5000"
"    37 ""Eareckson As""                           0.2924    0.2684    0.5000"
"    38 ""Adak Naf""                               0.3395    0.2764    0.5000"
"    39 ""Bellingham Intl""                        0.6150    0.3059    0.5000"
"    40 ""Glacier Park Intl""                      0.6572    0.3105    0.5000"
"    41 ""Minot Intl""                             0.7233    0.3110    0.5000"
"    42 ""William R Fairchild Intl""               0.6101    0.3123    0.5000"
"    43 ""Grand Forks Afb""                        0.7430    0.3138    0.5000"
"    44 ""Grand Forks Intl""                       0.7442    0.3139    0.5000"
"    45 ""Spokane Intl""                           0.6405    0.3171    0.5000"
"    46 ""Great Falls Intl""                       0.6719    0.3184    0.5000"
"    47 ""Seattle-Tacoma Intl""                    0.6162    0.3188    0.5000"
"    48 ""Pangborn Memorial""                      0.6269    0.3192    0.5000"
"    49 ""Grant County""                           0.6314    0.3210    0.5000"
"    50 ""Missoula Intll""                         0.6580    0.3238    0.5000"
"    51 ""Hector Intll""                           0.7460    0.3238    0.5000"
"    52 ""Duluth Intl""                            0.7696    0.3245    0.5000"
"    53 ""Bismarck Muni""                          0.7260    0.3252    0.5000"
"    54 ""Pullman/Moscow Regional""                0.6427    0.3254    0.5000"
"    55 ""Helena Regional""                        0.6688    0.3268    0.5000"
"    56 ""Yakima Air Terminal""                    0.6252    0.3271    0.5000"
"    57 ""Marquette County""                       0.7931    0.3275    0.5000"
"    58 ""Lewiston-Nez Perce County""              0.6431    0.3290    0.5000"
"    59 ""Tri-Cities""                             0.6324    0.3300    0.5000"
"    60 ""Walla Walla Regional""                   0.6367    0.3317    0.5000"
"    61 ""Bert Mooney""                            0.6662    0.3330    0.5000"
"    62 ""Billings Logan Intl""                    0.6863    0.3344    0.5000"
"    63 ""Gallatin Field""                         0.6730    0.3347    0.5000"
"    64 ""Eastern Oregon Regional At Pen""         0.6338    0.3355    0.5000"
"    65 ""Portland Intl""                          0.6147    0.3365    0.5000"
"    66 ""Mcnary Fld""                             0.6127    0.3430    0.5000"
"    67 ""Minneapolis-St Paul Intl/Wold-""         0.7644    0.3432    0.5000"
"    68 ""Bangor Intl""                            0.8885    0.3439    0.5000"
"    69 ""Central Wisconsin""                      0.7824    0.3442    0.5000"
"    70 ""Cherry Capital""                         0.8032    0.3446    0.5000"
"    71 ""Austin Straubel Intll""                  0.7903    0.3470    0.5000"
"    72 ""Burlington Intl""                        0.8665    0.3472    0.5000"
